id,predicted,text
12102,u,#AppGratis is a must have apps for #iPhone5 and #iOS user ! Best apps in #AppStore !
12103,u,Enter this code on your iOS Ninja Saga and receive Token together! &lt;1227379663&gt;
12126,u,Star Wars disponible pour Zen Pinball sur iOS
12150,u,Anyone else having trouble updating their iOS?
12197,u,Hellou #wipjam people in #MWC13 
12198,u,Twitter iOS 6 app is looking good. Many new features.
12199,u,Enter this code on your iOS Ninja Saga and receive Token together! &lt;85236455&gt;
12225,positive,#mwc13mny1 - what about iOS? How do we tap into non google devices? Especially for G-wallet services? Fragmentation?
12282,u,Tweeting from iOS 5 By Tutorials! :) http://192.168.1.13/ambio2/tag/130
12329,u,I there a way on #mac to list websites as icons like you can on the iOS devices? 
12356,u,@SoccerManager just a thought.. linking SM achievements with iOS Game Center ones?
12379,u,Strange bug on my iPad 2 running iOS 6.0.1. (My iPad 4 is ok.) Never seen it before. Time to update. ? https://t.co/DzOefqICCL
12381,positive,@ZombieBacchus and old for iOS Users...
12404,u,Via PicsArt #picsart #photography #ios @EgaHeriana http://t.co/lpRdz9BfOk
12499,u,Here's a great way to kid proof an iOS device from @MacObserver: http://t.co/bz1yxS4nno
12500,u,I have a lot of respect for indie iOS developers who are able to earn a living by selling on the App Store.
12501,positive,@bexytaylor88 @rachel_model1 hehe alright ladies calm down. Friday iOS officially thong Day so you might wake up to a surprise ;) x
